FID	IID	SUPERPOP	AFR	EAS	AMR	EUR
0	HG00096	EUR	7.4e-07	0.07301422	0.36747255	0.55951249
0	HG00097	EUR	0.00073979	0.06522562	0.48122903	0.45280556
0	HG00099	EUR	7.4e-07	0.06592538	0.35586528	0.5782086
0	HG00100	EUR	0.00269946	0.05646454	0.49824471	0.44259128
0	HG00101	EUR	7.5e-07	0.05799276	0.37626701	0.56573948
0	HG00102	EUR	7.4e-07	0.07585446	0.34758432	0.57656047
0	HG00103	EUR	0.00187886	0.05918512	0.39482369	0.54411233
0	HG00105	EUR	0.00031925	0.06629441	0.47735717	0.45602917
0	HG00106	EUR	7.4e-07	0.08317632	0.41548045	0.50134248
0	HG00107	EUR	5.868e-05	0.07893391	0.43496797	0.48603944
0	HG00108	EUR	0.00216049	0.06075505	0.4319102	0.50517425
0	HG00109	EUR	0.00099364	0.06383872	0.40009925	0.53506838
0	HG00110	EUR	2.139e-05	0.08030151	0.41499746	0.50467964
0	HG00111	EUR	0.00025483	0.06858566	0.42141307	0.50974643
0	HG00112	EUR	7.4e-07	0.0600982	0.46415873	0.47574233
0	HG00113	EUR	7.4e-07	0.06534855	0.44947486	0.48517585
0	HG00114	EUR	0.00028325	0.06942931	0.46720887	0.46307857
0	HG00115	EUR	0.00036221	0.06246461	0.42249717	0.51467601
0	HG00116	EUR	0.00037443	0.06360306	0.45277879	0.48324372
0	HG00117	EUR	0.00015599	0.07085798	0.35623576	0.57275027
0	HG00118	EUR	1.066e-05	0.06837223	0.39523172	0.53638539
0	HG00119	EUR	0.00025134	0.06696503	0.42827422	0.5045094
0	HG00120	EUR	0.00147911	0.06035498	0.34416916	0.59399676
0	HG00121	EUR	7.4e-07	0.06724366	0.39144681	0.54130879
0	HG00122	EUR	7.5e-07	0.07105779	0.40980968	0.51913178
0	HG00123	EUR	0.00108644	0.06095629	0.4059445	0.53201278
0	HG00125	EUR	0.00016341	0.06683538	0.44169228	0.49130893
0	HG00126	EUR	7.4e-07	0.05231253	0.42659149	0.52109524
0	HG00127	EUR	7.5e-07	0.0612083	0.43539618	0.50339478
0	HG00128	EUR	0.00126621	0.05191239	0.39712649	0.54969491
0	HG00129	EUR	0.00018832	0.07009596	0.37877663	0.55093909
0	HG00130	EUR	0.00338743	0.06090803	0.4488633	0.48684125
0	HG00131	EUR	0.00245161	0.06097844	0.42651533	0.51005463
0	HG00132	EUR	7.4e-07	0.06087063	0.4048716	0.53425703
0	HG00133	EUR	0.00354844	0.06575126	0.44932405	0.48137625
0	HG00136	EUR	7.8e-07	0.07114492	0.34297495	0.58587935
0	HG00137	EUR	0.00050175	0.06410706	0.38872651	0.54666468
0	HG00138	EUR	0.00042618	0.06784477	0.4737786	0.45795045
0	HG00139	EUR	0.00083933	0.06178203	0.42621878	0.51115985
0	HG00140	EUR	0.00032557	0.07150858	0.442493	0.48567286
0	HG00141	EUR	7.4e-07	0.0806813	0.37642976	0.5428882
0	HG00142	EUR	0.00022153	0.06261718	0.40952441	0.52763689
0	HG00143	EUR	0.00154881	0.05815197	0.48500072	0.4552985
0	HG00145	EUR	0.00101876	0.07568844	0.38070548	0.54258732
0	HG00146	EUR	7.4e-07	0.06364651	0.40229544	0.53405731
0	HG00148	EUR	0.00017931	0.05988746	0.47031116	0.46962207
0	HG00149	EUR	0.00091904	0.059808	0.38411175	0.55516121
0	HG00150	EUR	0.00051488	0.06377857	0.39945374	0.53625281
0	HG00151	EUR	0.00032655	0.07413861	0.42752456	0.49801028
